index,time,open,high,low,close,tick_volume,spread,real_volume
0,2024-01-17 10:05:00,65.24,65.37,65.06,65.18,613,1,6788600
1,2024-01-17 10:10:00,65.19,65.42,65.19,65.32,504,1,385500
2,2024-01-17 10:15:00,65.32,65.32,65.13,65.24,500,1,228400
3,2024-01-17 10:20:00,65.24,65.27,65.18,65.2,379,1,126700
4,2024-01-17 10:25:00,65.19,65.19,64.99,65.01,1248,1,570100
5,2024-01-17 10:30:00,65.0,65.0,64.62,64.69,1608,1,920800
6,2024-01-17 10:35:00,64.67,64.91,64.61,64.76,1171,1,926000
7,2024-01-17 10:40:00,64.76,64.85,64.61,64.7,933,1,462000
8,2024-01-17 10:45:00,64.7,64.7,64.56,64.57,766,1,311500
9,2024-01-17 10:50:00,64.59,64.74,64.59,64.74,574,1,255500
10,2024-01-17 10:55:00,64.74,64.74,64.62,64.67,581,1,322300
11,2024-01-17 11:00:00,64.67,64.86,64.64,64.83,582,1,282300
12,2024-01-17 11:05:00,64.82,64.83,64.72,64.75,346,1,119900
13,2024-01-17 11:10:00,64.73,64.85,64.73,64.85,316,1,95000
14,2024-01-17 11:15:00,64.85,64.88,64.81,64.85,396,1,128500
15,2024-01-17 11:20:00,64.85,64.88,64.81,64.83,418,1,199200
16,2024-01-17 11:25:00,64.83,64.84,64.72,64.73,568,1,143800
17,2024-01-17 11:30:00,64.73,64.82,64.63,64.74,788,1,270700
18,2024-01-17 11:35:00,64.73,64.95,64.72,64.84,728,1,266300
19,2024-01-17 11:40:00,64.85,64.88,64.75,64.8,610,1,191200
20,2024-01-17 11:45:00,64.8,64.85,64.74,64.85,688,1,170200
21,2024-01-17 11:50:00,64.85,64.85,64.77,64.78,430,1,123100
22,2024-01-17 11:55:00,64.78,64.84,64.74,64.78,408,1,353000
23,2024-01-17 12:00:00,64.78,64.92,64.72,64.84,784,1,263300
24,2024-01-17 12:05:00,64.84,64.95,64.81,64.91,677,1,167600
25,2024-01-17 12:10:00,64.92,64.94,64.84,64.87,584,1,155000
26,2024-01-17 12:15:00,64.89,64.9,64.78,64.79,481,1,127100
27,2024-01-17 12:20:00,64.79,64.9,64.78,64.89,472,1,99900
28,2024-01-17 12:25:00,64.89,64.93,64.87,64.89,593,1,116500
29,2024-01-17 12:30:00,64.92,64.92,64.79,64.82,826,1,212600
30,2024-01-17 12:35:00,64.81,64.91,64.81,64.87,547,1,127800
31,2024-01-17 12:40:00,64.87,64.9,64.85,64.85,429,1,80900
32,2024-01-17 12:45:00,64.87,64.88,64.8,64.8,473,1,116300
33,2024-01-17 12:50:00,64.8,64.84,64.74,64.75,507,1,132400
34,2024-01-17 12:55:00,64.75,64.75,64.72,64.75,423,1,85800
35,2024-01-17 13:00:00,64.75,64.81,64.75,64.78,398,1,93700
36,2024-01-17 13:05:00,64.78,64.79,64.72,64.72,407,1,91800
37,2024-01-17 13:10:00,64.72,64.78,64.69,64.75,542,1,136000
38,2024-01-17 13:15:00,64.75,64.76,64.72,64.74,342,1,64100
39,2024-01-17 13:20:00,64.74,64.74,64.63,64.65,748,1,1385900
40,2024-01-17 13:25:00,64.66,64.67,64.42,64.42,1474,1,808200
41,2024-01-17 13:30:00,64.43,64.48,64.37,64.48,725,1,260900
42,2024-01-17 13:35:00,64.49,64.55,64.46,64.5,538,1,142500
43,2024-01-17 13:40:00,64.52,64.57,64.48,64.55,579,1,147900
44,2024-01-17 13:45:00,64.55,64.58,64.52,64.53,485,1,105600
45,2024-01-17 13:50:00,64.53,64.54,64.5,64.51,514,1,81400
46,2024-01-17 13:55:00,64.51,64.52,64.36,64.38,795,1,1088900
47,2024-01-17 14:00:00,64.38,64.44,64.37,64.42,1522,1,505000
48,2024-01-17 14:05:00,64.42,64.5,64.41,64.47,1706,1,297000
49,2024-01-17 14:10:00,64.47,64.52,64.43,64.45,1205,1,532100
50,2024-01-17 14:15:00,64.45,64.56,64.43,64.55,730,1,191800
51,2024-01-17 14:20:00,64.55,64.55,64.38,64.41,1162,1,407400
52,2024-01-17 14:25:00,64.42,64.42,64.36,64.4,887,1,219100
53,2024-01-17 14:30:00,64.4,64.46,64.38,64.39,817,1,313400
54,2024-01-17 14:35:00,64.39,64.41,64.29,64.39,883,1,428200
55,2024-01-17 14:40:00,64.39,64.41,64.35,64.37,596,1,169300
56,2024-01-17 14:45:00,64.37,64.42,64.33,64.39,654,1,131100
57,2024-01-17 14:50:00,64.4,64.41,64.3,64.41,706,1,180100
58,2024-01-17 14:55:00,64.4,64.47,64.35,64.46,1116,1,516800
59,2024-01-17 15:00:00,64.46,64.46,64.34,64.39,653,1,224900
